Country,Year,Month,Temp,Humidity,Rain_fall,wind_speed
Viet Nam,1910,9,25.7518,82,318.33,1.3
Viet Nam,1910,10,24.4061,84,216.036,1.4
Viet Nam,1910,11,22.3868,82,184.151,1.6
Viet Nam,1910,12,19.1722,82,66.4869,1.4
Viet Nam,1911,1,19.2574,87,63.2634,1.1
Viet Nam,1911,2,20.2443,83,64.5233,1.3
Viet Nam,1911,3,22.0751,85,45.7912,1.6
Viet Nam,1911,4,25.2675,80,81.3827,1.6
Viet Nam,1911,5,26.549,80,198.05,1.4
Viet Nam,1911,6,27.339,74,228.678,1.4
Viet Nam,1911,7,26.9263,76,245.995,1.4
Viet Nam,1911,8,27.0404,78,227.249,1.4
Viet Nam,1911,9,26.3742,81,238.777,1.2
Viet Nam,1911,10,24.5429,87,195.629,1.1
Viet Nam,1911,11,23.149,85,119.721,1
Viet Nam,1911,12,21.1391,85,53.3474,0.9
Viet Nam,1912,1,19.5082,85,63.421,1.6
Viet Nam,1912,2,20.7848,80,24.1936,1.6
Viet Nam,1912,3,22.8214,85,31.1684,1.6
Viet Nam,1912,4,25.4073,82,106.989,1.5
Viet Nam,1912,5,27.731,81,153.707,1.7
Viet Nam,1912,6,27.5964,77,188.5,1.4
Viet Nam,1912,7,26.6894,75,250.286,1.5
Viet Nam,1912,8,26.3784,78,221.414,2.9
Viet Nam,1912,9,25.6256,81,233.588,1.2
Viet Nam,1912,10,24.4241,88,175.489,1.4
Viet Nam,1912,11,21.6739,85,240.354,1.7
Viet Nam,1912,12,20.008,87,52.4105,0.9
Viet Nam,1913,1,19.2835,86,25.3784,1.1
Viet Nam,1913,2,20.8853,85,50.2452,1.3
Viet Nam,1913,3,21.6073,84,28.2743,1.6
Viet Nam,1913,4,25.3371,81,70.576,1.6
Viet Nam,1913,5,25.8148,77,204.433,1.4
Viet Nam,1913,6,26.9078,73,172.088,1.4
Viet Nam,1913,7,26.5561,71,260.643,1.4
Viet Nam,1913,8,26.38,82,326.81,1.4
Viet Nam,1913,9,25.8716,82,271.822,1.2
Viet Nam,1913,10,24.5162,84,0.193,1.1
Viet Nam,1913,11,21.8009,82,193.165,1
Viet Nam,1913,12,19.7986,82,95.5038,0.9
Viet Nam,1914,1,19.3866,84,33.3785,1.6
